,,Non-donation,Donation,Statistics
기타 바우처 지원금(h1708_4aq117),157.0,1 (33.33%),2 (66.67%),
기타 바우처 지원금(h1708_4aq117),166.0,12 (92.31%),1 (7.69%),
기타 바우처 지원금(h1708_4aq117),168.0,79 (95.18%),4 (4.82%),
기타 바우처 지원금(h1708_4aq117),170.0,3 (60.00%),2 (40.00%),
기타 바우처 지원금(h1708_4aq117),174.0,1 (50.00%),1 (50.00%),
기타 바우처 지원금(h1708_4aq117),192.0,168 (93.33%),12 (6.67%),
기타 바우처 지원금(h1708_4aq117),196.0,10 (90.91%),1 (9.09%),
기타 바우처 지원금(h1708_4aq117),198.0,11 (91.67%),1 (8.33%),
기타 바우처 지원금(h1708_4aq117),200.0,33 (94.29%),2 (5.71%),
기타 바우처 지원금(h1708_4aq117),204.0,7 (77.78%),2 (22.22%),
기타 바우처 지원금(h1708_4aq117),208.0,3 (60.00%),2 (40.00%),
기타 바우처 지원금(h1708_4aq117),216.0,91 (92.86%),7 (7.14%),
기타 바우처 지원금(h1708_4aq117),218.0,6 (75.00%),2 (25.00%),
기타 바우처 지원금(h1708_4aq117),226.0,4 (66.67%),2 (33.33%),
기타 바우처 지원금(h1708_4aq117),228.0,8 (72.73%),3 (27.27%),
기타 바우처 지원금(h1708_4aq117),232.0,1 (33.33%),2 (66.67%),
기타 바우처 지원금(h1708_4aq117),236.0,8 (88.89%),1 (11.11%),
기타 바우처 지원금(h1708_4aq117),242.0,5 (83.33%),1 (16.67%),
기타 바우처 지원금(h1708_4aq117),252.0,10 (90.91%),1 (9.09%),
기타 바우처 지원금(h1708_4aq117),256.0,9 (75.00%),3 (25.00%),
기타 바우처 지원금(h1708_4aq117),264.0,37 (97.37%),1 (2.63%),
기타 바우처 지원금(h1708_4aq117),266.0,4 (80.00%),1 (20.00%),
기타 바우처 지원금(h1708_4aq117),267.0,16 (88.89%),2 (11.11%),
기타 바우처 지원금(h1708_4aq117),282.0,14 (93.33%),1 (6.67%),
기타 바우처 지원금(h1708_4aq117),288.0,17 (89.47%),2 (10.53%),
기타 바우처 지원금(h1708_4aq117),296.0,15 (93.75%),1 (6.25%),
기타 바우처 지원금(h1708_4aq117),298.0,48 (97.96%),1 (2.04%),
기타 바우처 지원금(h1708_4aq117),300.0,62 (95.38%),3 (4.62%),
기타 바우처 지원금(h1708_4aq117),304.0,6 (85.71%),1 (14.29%),
기타 바우처 지원금(h1708_4aq117),312.0,12 (92.31%),1 (7.69%),
기타 바우처 지원금(h1708_4aq117),323.0,7 (87.50%),1 (12.50%),
기타 바우처 지원금(h1708_4aq117),324.0,6 (75.00%),2 (25.00%),
기타 바우처 지원금(h1708_4aq117),331.0,3 (75.00%),1 (25.00%),
기타 바우처 지원금(h1708_4aq117),336.0,32 (94.12%),2 (5.88%),
기타 바우처 지원금(h1708_4aq117),347.0,2 (66.67%),1 (33.33%),
기타 바우처 지원금(h1708_4aq117),350.0,4 (80.00%),1 (20.00%),
기타 바우처 지원금(h1708_4aq117),360.0,12 (75.00%),4 (25.00%),
기타 바우처 지원금(h1708_4aq117),383.0,2 (33.33%),4 (66.67%),
기타 바우처 지원금(h1708_4aq117),391.0,3 (60.00%),2 (40.00%),
기타 바우처 지원금(h1708_4aq117),408.0,5 (62.50%),3 (37.50%),
기타 바우처 지원금(h1708_4aq117),427.0,3 (60.00%),2 (40.00%),
기타 바우처 지원금(h1708_4aq117),436.0,7 (87.50%),1 (12.50%),
기타 바우처 지원금(h1708_4aq117),445.0,1 (33.33%),2 (66.67%),
기타 바우처 지원금(h1708_4aq117),459.0,1 (33.33%),2 (66.67%),
기타 바우처 지원금(h1708_4aq117),462.0,6 (85.71%),1 (14.29%),
기타 바우처 지원금(h1708_4aq117),466.0,3 (75.00%),1 (25.00%),
기타 바우처 지원금(h1708_4aq117),480.0,9 (90.00%),1 (10.00%),
기타 바우처 지원금(h1708_4aq117),496.0,4 (80.00%),1 (20.00%),
기타 바우처 지원금(h1708_4aq117),528.0,9 (90.00%),1 (10.00%),
기타 바우처 지원금(h1708_4aq117),540.0,8 (80.00%),2 (20.00%),
기타 바우처 지원금(h1708_4aq117),600.0,5 (83.33%),1 (16.67%),
기타 바우처 지원금(h1708_4aq117),601.0,2 (50.00%),2 (50.00%),
기타 바우처 지원금(h1708_4aq117),603.0,1 (33.33%),2 (66.67%),
기타 바우처 지원금(h1708_4aq117),640.0,4 (80.00%),1 (20.00%),
기타 바우처 지원금(h1708_4aq117),720.0,1 (50.00%),1 (50.00%),
기타 바우처 지원금(h1708_4aq117),728.0,5 (83.33%),1 (16.67%),
기타 바우처 지원금(h1708_4aq117),744.0,2 (50.00%),2 (50.00%),
기타 바우처 지원금(h1708_4aq117),757.0,3 (75.00%),1 (25.00%),
기타 바우처 지원금(h1708_4aq117),840.0,7 (77.78%),2 (22.22%),
기타 바우처 지원금(h1708_4aq117),848.0,6 (85.71%),1 (14.29%),
기타 바우처 지원금(h1708_4aq117),860.0,3 (60.00%),2 (40.00%),
기타 바우처 지원금(h1708_4aq117),866.0,1 (50.00%),1 (50.00%),
기타 바우처 지원금(h1708_4aq117),872.0,5 (83.33%),1 (16.67%),
기타 바우처 지원금(h1708_4aq117),912.0,4 (80.00%),1 (20.00%),
기타 바우처 지원금(h1708_4aq117),960.0,19 (90.48%),2 (9.52%),
기타 바우처 지원금(h1708_4aq117),970.0,8 (88.89%),1 (11.11%),
기타 바우처 지원금(h1708_4aq117),1049.0,4 (80.00%),1 (20.00%),
기타 바우처 지원금(h1708_4aq117),1078.0,1 (50.00%),1 (50.00%),
기타 바우처 지원금(h1708_4aq117),1085.0,3 (75.00%),1 (25.00%),
기타 바우처 지원금(h1708_4aq117),1089.0,2 (66.67%),1 (33.33%),
기타 바우처 지원금(h1708_4aq117),1105.0,6 (85.71%),1 (14.29%),
기타 바우처 지원금(h1708_4aq117),1192.0,6 (85.71%),1 (14.29%),
기타 바우처 지원금(h1708_4aq117),1203.0,1 (33.33%),2 (66.67%),
기타 바우처 지원금(h1708_4aq117),1241.0,2 (66.67%),1 (33.33%),
기타 바우처 지원금(h1708_4aq117),1276.0,6 (85.71%),1 (14.29%),
기타 바우처 지원금(h1708_4aq117),1280.0,3 (75.00%),1 (25.00%),
기타 바우처 지원금(h1708_4aq117),1293.0,1 (50.00%),1 (50.00%),
기타 바우처 지원금(h1708_4aq117),1294.0,4 (80.00%),1 (20.00%),
기타 바우처 지원금(h1708_4aq117),1296.0,3 (60.00%),2 (40.00%),
기타 바우처 지원금(h1708_4aq117),1307.0,3 (60.00%),2 (40.00%),
기타 바우처 지원금(h1708_4aq117),1309.0,13 (92.86%),1 (7.14%),
기타 바우처 지원금(h1708_4aq117),1394.0,7 (77.78%),2 (22.22%),
기타 바우처 지원금(h1708_4aq117),1471.0,3 (60.00%),2 (40.00%),
기타 바우처 지원금(h1708_4aq117),1472.0,2 (66.67%),1 (33.33%),
기타 바우처 지원금(h1708_4aq117),1595.0,3 (75.00%),1 (25.00%),
기타 바우처 지원금(h1708_4aq117),1721.0,4 (80.00%),1 (20.00%),
기타 바우처 지원금(h1708_4aq117),1829.0,6 (85.71%),1 (14.29%),
기타 바우처 지원금(h1708_4aq117),1885.0,3 (75.00%),1 (25.00%),
기타 바우처 지원금(h1708_4aq117),1928.0,1 (50.00%),1 (50.00%),
기타 바우처 지원금(h1708_4aq117),2084.0,8 (88.89%),1 (11.11%),
기타 바우처 지원금(h1708_4aq117),2143.0,2 (66.67%),1 (33.33%),
기타 바우처 지원금(h1708_4aq117),2284.0,2 (66.67%),1 (33.33%),
기타 바우처 지원금(h1708_4aq117),2908.0,2 (50.00%),2 (50.00%),
기타 바우처 지원금(h1708_4aq117),3006.0,3 (75.00%),1 (25.00%),
기타 바우처 지원금(h1708_4aq117),5321.0,4 (80.00%),1 (20.00%),
기타 바우처 지원금(h1708_4aq117),8426.0,49490 (95.76%),2191 (4.24%),
Average amount of alcohol consumed in a year,1.0,29492 (91.79%),2637 (8.21%),"$\chi^2$=1113.79, $p$=0.00"
Average amount of alcohol consumed in a year,2.0,35331 (90.59%),3672 (9.41%),
Average amount of alcohol consumed in a year,3.0,23173 (90.74%),2366 (9.26%),
Average amount of alcohol consumed in a year,4.0,28393 (94.32%),1709 (5.68%),
Average amount of alcohol consumed in a year,5.0,94299 (94.62%),5357 (5.38%),
Average amount of alcohol consumed in a year,9.0,51 (94.44%),3 (5.56%),
고용보험 연간소득(h1708_aq13),0.0,241955 (94.50%),14081 (5.50%),"$\chi^2$=1111.75, $p$=0.00"
고용보험 연간소득(h1708_aq13),8.0,8 (88.89%),1 (11.11%),
고용보험 연간소득(h1708_aq13),15.0,4 (80.00%),1 (20.00%),
고용보험 연간소득(h1708_aq13),20.0,11 (91.67%),1 (8.33%),
고용보험 연간소득(h1708_aq13),22.0,4 (80.00%),1 (20.00%),
고용보험 연간소득(h1708_aq13),23.0,14 (93.33%),1 (6.67%),
고용보험 연간소득(h1708_aq13),24.0,10 (90.91%),1 (9.09%),
고용보험 연간소득(h1708_aq13),28.0,8 (80.00%),2 (20.00%),
고용보험 연간소득(h1708_aq13),30.0,24 (88.89%),3 (11.11%),
고용보험 연간소득(h1708_aq13),33.0,6 (75.00%),2 (25.00%),
고용보험 연간소득(h1708_aq13),35.0,25 (92.59%),2 (7.41%),
고용보험 연간소득(h1708_aq13),43.0,7 (87.50%),1 (12.50%),
고용보험 연간소득(h1708_aq13),44.0,2 (66.67%),1 (33.33%),
고용보험 연간소득(h1708_aq13),45.0,15 (88.24%),2 (11.76%),
고용보험 연간소득(h1708_aq13),50.0,28 (71.79%),11 (28.21%),
고용보험 연간소득(h1708_aq13),52.0,4 (66.67%),2 (33.33%),
고용보험 연간소득(h1708_aq13),56.0,15 (93.75%),1 (6.25%),
고용보험 연간소득(h1708_aq13),60.0,55 (93.22%),4 (6.78%),
고용보험 연간소득(h1708_aq13),63.0,3 (60.00%),2 (40.00%),
고용보험 연간소득(h1708_aq13),64.0,3 (75.00%),1 (25.00%),
고용보험 연간소득(h1708_aq13),65.0,15 (83.33%),3 (16.67%),
고용보험 연간소득(h1708_aq13),66.0,15 (93.75%),1 (6.25%),
고용보험 연간소득(h1708_aq13),69.0,1 (50.00%),1 (50.00%),
고용보험 연간소득(h1708_aq13),70.0,40 (97.56%),1 (2.44%),
고용보험 연간소득(h1708_aq13),75.0,10 (83.33%),2 (16.67%),
고용보험 연간소득(h1708_aq13),82.0,4 (80.00%),1 (20.00%),
고용보험 연간소득(h1708_aq13),85.0,7 (70.00%),3 (30.00%),
고용보험 연간소득(h1708_aq13),89.0,3 (50.00%),3 (50.00%),
고용보험 연간소득(h1708_aq13),90.0,29 (93.55%),2 (6.45%),
고용보험 연간소득(h1708_aq13),93.0,7 (87.50%),1 (12.50%),
고용보험 연간소득(h1708_aq13),95.0,8 (88.89%),1 (11.11%),
고용보험 연간소득(h1708_aq13),97.0,15 (88.24%),2 (11.76%),
고용보험 연간소득(h1708_aq13),100.0,60 (88.24%),8 (11.76%),
고용보험 연간소득(h1708_aq13),102.0,3 (75.00%),1 (25.00%),
고용보험 연간소득(h1708_aq13),105.0,31 (96.88%),1 (3.12%),
고용보험 연간소득(h1708_aq13),109.0,3 (75.00%),1 (25.00%),
고용보험 연간소득(h1708_aq13),110.0,39 (90.70%),4 (9.30%),
고용보험 연간소득(h1708_aq13),120.0,130 (93.53%),9 (6.47%),
고용보험 연간소득(h1708_aq13),122.0,1 (50.00%),1 (50.00%),
고용보험 연간소득(h1708_aq13),123.0,5 (71.43%),2 (28.57%),
고용보험 연간소득(h1708_aq13),124.0,10 (83.33%),2 (16.67%),
고용보험 연간소득(h1708_aq13),125.0,5 (83.33%),1 (16.67%),
고용보험 연간소득(h1708_aq13),126.0,16 (88.89%),2 (11.11%),
고용보험 연간소득(h1708_aq13),128.0,3 (75.00%),1 (25.00%),
고용보험 연간소득(h1708_aq13),130.0,35 (89.74%),4 (10.26%),
고용보험 연간소득(h1708_aq13),132.0,10 (83.33%),2 (16.67%),
고용보험 연간소득(h1708_aq13),135.0,23 (76.67%),7 (23.33%),
고용보험 연간소득(h1708_aq13),140.0,67 (90.54%),7 (9.46%),
고용보험 연간소득(h1708_aq13),146.0,2 (66.67%),1 (33.33%),
고용보험 연간소득(h1708_aq13),150.0,165 (94.29%),10 (5.71%),
고용보험 연간소득(h1708_aq13),155.0,9 (90.00%),1 (10.00%),
고용보험 연간소득(h1708_aq13),156.0,7 (70.00%),3 (30.00%),
고용보험 연간소득(h1708_aq13),159.0,8 (88.89%),1 (11.11%),
고용보험 연간소득(h1708_aq13),160.0,62 (84.93%),11 (15.07%),
고용보험 연간소득(h1708_aq13),162.0,4 (66.67%),2 (33.33%),
고용보험 연간소득(h1708_aq13),168.0,34 (91.89%),3 (8.11%),
고용보험 연간소득(h1708_aq13),170.0,39 (90.70%),4 (9.30%),
고용보험 연간소득(h1708_aq13),172.0,8 (88.89%),1 (11.11%),
고용보험 연간소득(h1708_aq13),175.0,7 (87.50%),1 (12.50%),
고용보험 연간소득(h1708_aq13),176.0,14 (87.50%),2 (12.50%),
고용보험 연간소득(h1708_aq13),178.0,16 (88.89%),2 (11.11%),
고용보험 연간소득(h1708_aq13),180.0,109 (97.32%),3 (2.68%),
고용보험 연간소득(h1708_aq13),183.0,3 (75.00%),1 (25.00%),
고용보험 연간소득(h1708_aq13),190.0,20 (83.33%),4 (16.67%),
고용보험 연간소득(h1708_aq13),195.0,32 (96.97%),1 (3.03%),
고용보험 연간소득(h1708_aq13),198.0,17 (85.00%),3 (15.00%),
고용보험 연간소득(h1708_aq13),200.0,144 (91.72%),13 (8.28%),
고용보험 연간소득(h1708_aq13),204.0,14 (93.33%),1 (6.67%),
고용보험 연간소득(h1708_aq13),210.0,90 (92.78%),7 (7.22%),
고용보험 연간소득(h1708_aq13),216.0,29 (93.55%),2 (6.45%),
고용보험 연간소득(h1708_aq13),220.0,50 (90.91%),5 (9.09%),
고용보험 연간소득(h1708_aq13),222.0,14 (93.33%),1 (6.67%),
고용보험 연간소득(h1708_aq13),225.0,33 (97.06%),1 (2.94%),
고용보험 연간소득(h1708_aq13),230.0,9 (90.00%),1 (10.00%),
고용보험 연간소득(h1708_aq13),239.0,2 (66.67%),1 (33.33%),
고용보험 연간소득(h1708_aq13),240.0,214 (96.40%),8 (3.60%),
고용보험 연간소득(h1708_aq13),249.0,39 (92.86%),3 (7.14%),
고용보험 연간소득(h1708_aq13),250.0,55 (94.83%),3 (5.17%),
고용보험 연간소득(h1708_aq13),254.0,2 (50.00%),2 (50.00%),
고용보험 연간소득(h1708_aq13),255.0,32 (94.12%),2 (5.88%),
고용보험 연간소득(h1708_aq13),260.0,33 (89.19%),4 (10.81%),
고용보험 연간소득(h1708_aq13),262.0,2 (50.00%),2 (50.00%),
고용보험 연간소득(h1708_aq13),264.0,10 (83.33%),2 (16.67%),
고용보험 연간소득(h1708_aq13),265.0,12 (92.31%),1 (7.69%),
고용보험 연간소득(h1708_aq13),266.0,30 (93.75%),2 (6.25%),
고용보험 연간소득(h1708_aq13),270.0,91 (94.79%),5 (5.21%),
고용보험 연간소득(h1708_aq13),272.0,7 (87.50%),1 (12.50%),
고용보험 연간소득(h1708_aq13),276.0,20 (86.96%),3 (13.04%),
고용보험 연간소득(h1708_aq13),277.0,2 (66.67%),1 (33.33%),
고용보험 연간소득(h1708_aq13),278.0,14 (87.50%),2 (12.50%),
고용보험 연간소득(h1708_aq13),279.0,22 (91.67%),2 (8.33%),
고용보험 연간소득(h1708_aq13),280.0,48 (96.00%),2 (4.00%),
고용보험 연간소득(h1708_aq13),287.0,1 (50.00%),1 (50.00%),
고용보험 연간소득(h1708_aq13),288.0,19 (95.00%),1 (5.00%),
고용보험 연간소득(h1708_aq13),290.0,13 (92.86%),1 (7.14%),
고용보험 연간소득(h1708_aq13),297.0,27 (87.10%),4 (12.90%),
고용보험 연간소득(h1708_aq13),300.0,221 (90.20%),24 (9.80%),
고용보험 연간소득(h1708_aq13),302.0,2 (66.67%),1 (33.33%),
고용보험 연간소득(h1708_aq13),303.0,1 (50.00%),1 (50.00%),
고용보험 연간소득(h1708_aq13),310.0,12 (80.00%),3 (20.00%),
고용보험 연간소득(h1708_aq13),315.0,58 (95.08%),3 (4.92%),
고용보험 연간소득(h1708_aq13),316.0,5 (83.33%),1 (16.67%),
고용보험 연간소득(h1708_aq13),320.0,84 (95.45%),4 (4.55%),
고용보험 연간소득(h1708_aq13),323.0,13 (86.67%),2 (13.33%),
고용보험 연간소득(h1708_aq13),324.0,14 (93.33%),1 (6.67%),
고용보험 연간소득(h1708_aq13),329.0,3 (75.00%),1 (25.00%),
고용보험 연간소득(h1708_aq13),330.0,63 (92.65%),5 (7.35%),
고용보험 연간소득(h1708_aq13),332.0,10 (83.33%),2 (16.67%),
고용보험 연간소득(h1708_aq13),334.0,5 (83.33%),1 (16.67%),
고용보험 연간소득(h1708_aq13),335.0,5 (83.33%),1 (16.67%),
고용보험 연간소득(h1708_aq13),336.0,44 (86.27%),7 (13.73%),
고용보험 연간소득(h1708_aq13),350.0,76 (95.00%),4 (5.00%),
고용보험 연간소득(h1708_aq13),355.0,6 (85.71%),1 (14.29%),
고용보험 연간소득(h1708_aq13),356.0,9 (90.00%),1 (10.00%),
고용보험 연간소득(h1708_aq13),360.0,255 (95.15%),13 (4.85%),
고용보험 연간소득(h1708_aq13),361.0,7 (87.50%),1 (12.50%),
고용보험 연간소득(h1708_aq13),368.0,26 (92.86%),2 (7.14%),
고용보험 연간소득(h1708_aq13),369.0,7 (87.50%),1 (12.50%),
고용보험 연간소득(h1708_aq13),370.0,4 (80.00%),1 (20.00%),
고용보험 연간소득(h1708_aq13),372.0,14 (93.33%),1 (6.67%),
고용보험 연간소득(h1708_aq13),375.0,40 (97.56%),1 (2.44%),
고용보험 연간소득(h1708_aq13),379.0,1 (50.00%),1 (50.00%),
고용보험 연간소득(h1708_aq13),385.0,9 (75.00%),3 (25.00%),
고용보험 연간소득(h1708_aq13),386.0,5 (83.33%),1 (16.67%),
고용보험 연간소득(h1708_aq13),387.0,9 (90.00%),1 (10.00%),
고용보험 연간소득(h1708_aq13),390.0,55 (96.49%),2 (3.51%),
고용보험 연간소득(h1708_aq13),392.0,22 (91.67%),2 (8.33%),
고용보험 연간소득(h1708_aq13),396.0,19 (95.00%),1 (5.00%),
고용보험 연간소득(h1708_aq13),399.0,2 (50.00%),2 (50.00%),
고용보험 연간소득(h1708_aq13),400.0,137 (92.57%),11 (7.43%),
고용보험 연간소득(h1708_aq13),402.0,8 (80.00%),2 (20.00%),
고용보험 연간소득(h1708_aq13),405.0,24 (92.31%),2 (7.69%),
고용보험 연간소득(h1708_aq13),414.0,9 (90.00%),1 (10.00%),
고용보험 연간소득(h1708_aq13),415.0,20 (95.24%),1 (4.76%),
고용보험 연간소득(h1708_aq13),420.0,87 (93.55%),6 (6.45%),
고용보험 연간소득(h1708_aq13),422.0,3 (75.00%),1 (25.00%),
고용보험 연간소득(h1708_aq13),425.0,25 (92.59%),2 (7.41%),
고용보험 연간소득(h1708_aq13),430.0,10 (76.92%),3 (23.08%),
고용보험 연간소득(h1708_aq13),439.0,4 (57.14%),3 (42.86%),
고용보험 연간소득(h1708_aq13),440.0,42 (89.36%),5 (10.64%),
고용보험 연간소득(h1708_aq13),448.0,4 (80.00%),1 (20.00%),
고용보험 연간소득(h1708_aq13),450.0,154 (91.67%),14 (8.33%),
고용보험 연간소득(h1708_aq13),455.0,1 (33.33%),2 (66.67%),
고용보험 연간소득(h1708_aq13),460.0,11 (84.62%),2 (15.38%),
고용보험 연간소득(h1708_aq13),466.0,1 (50.00%),1 (50.00%),
고용보험 연간소득(h1708_aq13),470.0,4 (80.00%),1 (20.00%),
고용보험 연간소득(h1708_aq13),480.0,217 (93.13%),16 (6.87%),
고용보험 연간소득(h1708_aq13),485.0,25 (96.15%),1 (3.85%),
고용보험 연간소득(h1708_aq13),486.0,9 (75.00%),3 (25.00%),
고용보험 연간소득(h1708_aq13),487.0,4 (80.00%),1 (20.00%),
고용보험 연간소득(h1708_aq13),490.0,22 (95.65%),1 (4.35%),
고용보험 연간소득(h1708_aq13),491.0,2 (66.67%),1 (33.33%),
고용보험 연간소득(h1708_aq13),492.0,6 (75.00%),2 (25.00%),
고용보험 연간소득(h1708_aq13),500.0,81 (90.00%),9 (10.00%),
고용보험 연간소득(h1708_aq13),503.0,1 (50.00%),1 (50.00%),
고용보험 연간소득(h1708_aq13),504.0,47 (95.92%),2 (4.08%),
고용보험 연간소득(h1708_aq13),507.0,3 (75.00%),1 (25.00%),
고용보험 연간소득(h1708_aq13),510.0,29 (93.55%),2 (6.45%),
고용보험 연간소득(h1708_aq13),516.0,18 (81.82%),4 (18.18%),
고용보험 연간소득(h1708_aq13),520.0,36 (83.72%),7 (16.28%),
고용보험 연간소득(h1708_aq13),521.0,10 (90.91%),1 (9.09%),
고용보험 연간소득(h1708_aq13),540.0,106 (95.50%),5 (4.50%),
고용보험 연간소득(h1708_aq13),542.0,2 (66.67%),1 (33.33%),
고용보험 연간소득(h1708_aq13),550.0,28 (90.32%),3 (9.68%),
고용보험 연간소득(h1708_aq13),552.0,16 (80.00%),4 (20.00%),
고용보험 연간소득(h1708_aq13),555.0,5 (71.43%),2 (28.57%),
고용보험 연간소득(h1708_aq13),559.0,10 (83.33%),2 (16.67%),
고용보험 연간소득(h1708_aq13),560.0,41 (95.35%),2 (4.65%),
고용보험 연간소득(h1708_aq13),564.0,8 (88.89%),1 (11.11%),
고용보험 연간소득(h1708_aq13),566.0,3 (75.00%),1 (25.00%),
고용보험 연간소득(h1708_aq13),575.0,3 (75.00%),1 (25.00%),
고용보험 연간소득(h1708_aq13),576.0,7 (77.78%),2 (22.22%),
고용보험 연간소득(h1708_aq13),585.0,9 (81.82%),2 (18.18%),
고용보험 연간소득(h1708_aq13),588.0,26 (86.67%),4 (13.33%),
고용보험 연간소득(h1708_aq13),600.0,194 (93.72%),13 (6.28%),
고용보험 연간소득(h1708_aq13),605.0,6 (85.71%),1 (14.29%),
고용보험 연간소득(h1708_aq13),610.0,5 (62.50%),3 (37.50%),
고용보험 연간소득(h1708_aq13),612.0,9 (81.82%),2 (18.18%),
고용보험 연간소득(h1708_aq13),615.0,3 (75.00%),1 (25.00%),
고용보험 연간소득(h1708_aq13),620.0,25 (96.15%),1 (3.85%),
고용보험 연간소득(h1708_aq13),624.0,6 (85.71%),1 (14.29%),
고용보험 연간소득(h1708_aq13),630.0,60 (93.75%),4 (6.25%),
고용보험 연간소득(h1708_aq13),640.0,48 (96.00%),2 (4.00%),
고용보험 연간소득(h1708_aq13),650.0,14 (73.68%),5 (26.32%),
고용보험 연간소득(h1708_aq13),651.0,8 (88.89%),1 (11.11%),
고용보험 연간소득(h1708_aq13),656.0,6 (75.00%),2 (25.00%),
고용보험 연간소득(h1708_aq13),660.0,55 (96.49%),2 (3.51%),
고용보험 연간소득(h1708_aq13),672.0,69 (93.24%),5 (6.76%),
고용보험 연간소득(h1708_aq13),675.0,28 (96.55%),1 (3.45%),
고용보험 연간소득(h1708_aq13),680.0,29 (96.67%),1 (3.33%),
고용보험 연간소득(h1708_aq13),691.0,4 (80.00%),1 (20.00%),
고용보험 연간소득(h1708_aq13),700.0,38 (95.00%),2 (5.00%),
고용보험 연간소득(h1708_aq13),701.0,3 (75.00%),1 (25.00%),
고용보험 연간소득(h1708_aq13),712.0,5 (71.43%),2 (28.57%),
고용보험 연간소득(h1708_aq13),713.0,1 (50.00%),1 (50.00%),
고용보험 연간소득(h1708_aq13),720.0,197 (91.63%),18 (8.37%),
고용보험 연간소득(h1708_aq13),721.0,8 (88.89%),1 (11.11%),
고용보험 연간소득(h1708_aq13),726.0,12 (92.31%),1 (7.69%),
고용보험 연간소득(h1708_aq13),735.0,9 (81.82%),2 (18.18%),
고용보험 연간소득(h1708_aq13),738.0,8 (88.89%),1 (11.11%),
고용보험 연간소득(h1708_aq13),740.0,10 (90.91%),1 (9.09%),
고용보험 연간소득(h1708_aq13),750.0,58 (95.08%),3 (4.92%),
고용보험 연간소득(h1708_aq13),756.0,5 (83.33%),1 (16.67%),
고용보험 연간소득(h1708_aq13),770.0,28 (96.55%),1 (3.45%),
고용보험 연간소득(h1708_aq13),780.0,28 (93.33%),2 (6.67%),
고용보험 연간소득(h1708_aq13),788.0,5 (83.33%),1 (16.67%),
고용보험 연간소득(h1708_aq13),792.0,2 (66.67%),1 (33.33%),
고용보험 연간소득(h1708_aq13),799.0,2 (66.67%),1 (33.33%),
고용보험 연간소득(h1708_aq13),800.0,55 (88.71%),7 (11.29%),
고용보험 연간소득(h1708_aq13),804.0,8 (88.89%),1 (11.11%),
고용보험 연간소득(h1708_aq13),810.0,17 (94.44%),1 (5.56%),
고용보험 연간소득(h1708_aq13),813.0,6 (85.71%),1 (14.29%),
고용보험 연간소득(h1708_aq13),815.0,3 (75.00%),1 (25.00%),
고용보험 연간소득(h1708_aq13),816.0,9 (81.82%),2 (18.18%),
고용보험 연간소득(h1708_aq13),820.0,7 (87.50%),1 (12.50%),
고용보험 연간소득(h1708_aq13),825.0,11 (91.67%),1 (8.33%),
고용보험 연간소득(h1708_aq13),835.0,16 (88.89%),2 (11.11%),
고용보험 연간소득(h1708_aq13),840.0,110 (91.67%),10 (8.33%),
고용보험 연간소득(h1708_aq13),842.0,8 (88.89%),1 (11.11%),
고용보험 연간소득(h1708_aq13),845.0,2 (66.67%),1 (33.33%),
고용보험 연간소득(h1708_aq13),852.0,2 (66.67%),1 (33.33%),
고용보험 연간소득(h1708_aq13),866.0,4 (80.00%),1 (20.00%),
고용보험 연간소득(h1708_aq13),878.0,3 (75.00%),1 (25.00%),
고용보험 연간소득(h1708_aq13),880.0,16 (94.12%),1 (5.88%),
고용보험 연간소득(h1708_aq13),895.0,11 (91.67%),1 (8.33%),
고용보험 연간소득(h1708_aq13),900.0,131 (87.92%),18 (12.08%),
고용보험 연간소득(h1708_aq13),902.0,5 (71.43%),2 (28.57%),
고용보험 연간소득(h1708_aq13),910.0,13 (81.25%),3 (18.75%),
고용보험 연간소득(h1708_aq13),911.0,2 (66.67%),1 (33.33%),
고용보험 연간소득(h1708_aq13),919.0,4 (80.00%),1 (20.00%),
고용보험 연간소득(h1708_aq13),924.0,11 (91.67%),1 (8.33%),
고용보험 연간소득(h1708_aq13),930.0,21 (95.45%),1 (4.55%),
고용보험 연간소득(h1708_aq13),934.0,1 (33.33%),2 (66.67%),
고용보험 연간소득(h1708_aq13),937.0,2 (66.67%),1 (33.33%),
고용보험 연간소득(h1708_aq13),942.0,4 (80.00%),1 (20.00%),
고용보험 연간소득(h1708_aq13),950.0,3 (75.00%),1 (25.00%),
고용보험 연간소득(h1708_aq13),952.0,3 (75.00%),1 (25.00%),
고용보험 연간소득(h1708_aq13),960.0,95 (94.06%),6 (5.94%),
고용보험 연간소득(h1708_aq13),972.0,6 (85.71%),1 (14.29%),
고용보험 연간소득(h1708_aq13),975.0,5 (83.33%),1 (16.67%),
고용보험 연간소득(h1708_aq13),990.0,31 (91.18%),3 (8.82%),
고용보험 연간소득(h1708_aq13),1002.0,4 (80.00%),1 (20.00%),
고용보험 연간소득(h1708_aq13),1008.0,71 (87.65%),10 (12.35%),
고용보험 연간소득(h1708_aq13),1010.0,6 (75.00%),2 (25.00%),
고용보험 연간소득(h1708_aq13),1020.0,22 (88.00%),3 (12.00%),
고용보험 연간소득(h1708_aq13),1035.0,1 (50.00%),1 (50.00%),
고용보험 연간소득(h1708_aq13),1040.0,10 (83.33%),2 (16.67%),
고용보험 연간소득(h1708_aq13),1063.0,2 (50.00%),2 (50.00%),
고용보험 연간소득(h1708_aq13),1080.0,66 (94.29%),4 (5.71%),
